Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2B/3B,Kevin Newman (39001171),Kevin Newman,39001171,2B/3B,2200,LAA@CLE 05/31/2025 04:10PM ET,LAA,2.38
OF,Nolan Jones (39001174),Nolan Jones,39001174,OF,2200,LAA@CLE 05/31/2025 04:10PM ET,CLE,3.88
1B,Jared Young (39001173),Jared Young,39001173,1B,2200,COL@NYM 05/31/2025 04:10PM ET,NYM,5
C,Jacob Stallings (39001179),Jacob Stallings,39001179,C,2200,COL@NYM 05/31/2025 04:10PM ET,COL,2.89
C,Drew Romo (39001272),Drew Romo,39001272,C,2200,COL@NYM 05/31/2025 04:10PM ET,COL,0
OF,Chas McCormick (39001169),Chas McCormick,39001169,OF,2200,TB@HOU 05/31/2025 04:10PM ET,HOU,1.94
OF,Travis Jankowski (39001276),Travis Jankowski,39001276,OF,2200,TB@HOU 05/31/2025 04:10PM ET,TB,3.38
OF,Pedro Leon (39001279),Pedro Leon,39001279,OF,2200,TB@HOU 05/31/2025 04:10PM ET,HOU,0
OF,Hunter Renfroe (39001274),Hunter Renfroe,39001274,OF,2200,DET@KC 05/31/2025 04:10PM ET,KC,2.86
2B,Christian Koss (39001175),Christian Koss,39001175,2B,2200,SF@MIA 05/31/2025 04:10PM ET,SF,3.22
OF,Victor Mesa Jr. (39001176),Victor Mesa Jr.,39001176,OF,2200,SF@MIA 05/31/2025 04:10PM ET,MIA,2.75
C,Patrick Bailey (39001177),Patrick Bailey,39001177,C,2200,SF@MIA 05/31/2025 04:10PM ET,SF,3.76
C,Jason Delay (39001281),Jason Delay,39001281,C,2100,BOS@ATL 05/31/2025 04:10PM ET,ATL,0
OF,Jarred Kelenic (39001282),Jarred Kelenic,39001282,OF,2100,BOS@ATL 05/31/2025 04:10PM ET,ATL,3.30
C,Curt Casali (39001283),Curt Casali,39001283,C,2100,BOS@ATL 05/31/2025 04:10PM ET,ATL,0
C,Chadwick Tromp (39001182),Chadwick Tromp,39001182,C,2100,CWS@BAL 05/31/2025 04:05PM ET,BAL,0.5
3B/OF,Josh Rojas (39001188),Josh Rojas,39001188,3B/OF,2100,CWS@BAL 05/31/2025 04:05PM ET,CWS,3.38
3B,Bryan Ramos (39001287),Bryan Ramos,39001287,3B,2100,CWS@BAL 05/31/2025 04:05PM ET,CWS,0
C,Tucker Barnhart (39001187),Tucker Barnhart,39001187,C,2100,STL@TEX 05/31/2025 04:05PM ET,TEX,1.62
C,Austin Hedges (39001180),Austin Hedges,39001180,C,2100,LAA@CLE 05/31/2025 04:10PM ET,CLE,3.52
2B/OF,Chris Taylor (39001185),Chris Taylor,39001185,2B/OF,2100,LAA@CLE 05/31/2025 04:10PM ET,LAA,1.29
OF,Will Brennan (39001288),Will Brennan,39001288,OF,2100,LAA@CLE 05/31/2025 04:10PM ET,CLE,1.17
2B/SS,Andruw Monasterio (39001190),Andruw Monasterio,39001190,2B/SS,2100,MIL@PHI 05/31/2025 04:05PM ET,MIL,2
OF,Cal Stevenson (39001280),Cal Stevenson,39001280,OF,2100,MIL@PHI 05/31/2025 04:05PM ET,PHI,1.6
C,Freddy Fermin (39001183),Freddy Fermin,39001183,C,2100,DET@KC 05/31/2025 04:10PM ET,KC,3.97
3B,Jace Jung (39001284),Jace Jung,39001284,3B,2100,DET@KC 05/31/2025 04:10PM ET,DET,2.94
1B/OF,David Hensley (39001285),David Hensley,39001285,1B/OF,2100,DET@KC 05/31/2025 04:10PM ET,DET,0
2B,Ronny Simon (39001181),Ronny Simon,39001181,2B,2100,SF@MIA 05/31/2025 04:10PM ET,MIA,3.84
1B,LaMonte Wade Jr. (39001184),LaMonte Wade Jr.,39001184,1B,2100,SF@MIA 05/31/2025 04:10PM ET,SF,4.19
2B/3B,Luke Williams (39001193),Luke Williams,39001193,2B/3B,2000,BOS@ATL 05/31/2025 04:10PM ET,ATL,2.6
C,Connor Wong (39001197),Connor Wong,39001197,C,2000,BOS@ATL 05/31/2025 04:10PM ET,BOS,2.23
OF,Jhostynxon Garcia (39001296),Jhostynxon Garcia,39001296,OF,2000,BOS@ATL 05/31/2025 04:10PM ET,BOS,0
OF,Jake Marisnick (39001303),Jake Marisnick,39001303,OF,2000,BOS@ATL 05/31/2025 04:10PM ET,ATL,0
OF,Carlos Rodriguez (39001311),Carlos Rodriguez,39001311,OF,2000,BOS@ATL 05/31/2025 04:10PM ET,ATL,0
1B,Triston Casas (39001315),Triston Casas,39001315,1B,2000,BOS@ATL 05/31/2025 04:10PM ET,BOS,4.79
C,Blake Sabol (39001318),Blake Sabol,39001318,C,2000,BOS@ATL 05/31/2025 04:10PM ET,BOS,2
3B/SS,Jonathan Ornelas (39001343),Jonathan Ornelas,39001343,3B/SS,2000,BOS@ATL 05/31/2025 04:10PM ET,ATL,0.5
3B/SS,Vinny Capra (39001198),Vinny Capra,39001198,3B/SS,2000,CWS@BAL 05/31/2025 04:05PM ET,CWS,1.79
C,Maverick Handley (39001206),Maverick Handley,39001206,C,2000,CWS@BAL 05/31/2025 04:05PM ET,BAL,1.46
1B/3B,Bobby Dalbec (39001289),Bobby Dalbec,39001289,1B/3B,2000,CWS@BAL 05/31/2025 04:05PM ET,CWS,3.71
SS,Colson Montgomery (39001295),Colson Montgomery,39001295,SS,2000,CWS@BAL 05/31/2025 04:05PM ET,CWS,0
3B/SS,Ezequiel Duran (39001202),Ezequiel Duran,39001202,3B/SS,2000,STL@TEX 05/31/2025 04:05PM ET,TEX,1.38
OF,Joc Pederson (39001292),Joc Pederson,39001292,OF,2000,STL@TEX 05/31/2025 04:05PM ET,TEX,3.48
C,Chance Sisco (39001297),Chance Sisco,39001297,C,2000,STL@TEX 05/31/2025 04:05PM ET,STL,0
OF,Cody Thomas (39001313),Cody Thomas,39001313,OF,2000,STL@TEX 05/31/2025 04:05PM ET,TEX,0
OF,Matt Koperniak (39001314),Matt Koperniak,39001314,OF,2000,STL@TEX 05/31/2025 04:05PM ET,STL,0
2B,Justin Foscue (39001329),Justin Foscue,39001329,2B,2000,STL@TEX 05/31/2025 04:05PM ET,TEX,0
SS,Nick Ahmed (39001330),Nick Ahmed,39001330,SS,2000,STL@TEX 05/31/2025 04:05PM ET,TEX,1.8
2B/SS,Michael Helman (39001336),Michael Helman,39001336,2B/SS,2000,STL@TEX 05/31/2025 04:05PM ET,TEX,0
OF,Michael Siani (39001342),Michael Siani,39001342,OF,2000,STL@TEX 05/31/2025 04:05PM ET,STL,1.22
3B,Will Wilson (39001192),Will Wilson,39001192,3B,2000,LAA@CLE 05/31/2025 04:10PM ET,CLE,2.44
OF/SS,Scott Kingery (39001200),Scott Kingery,39001200,SS/OF,2000,LAA@CLE 05/31/2025 04:10PM ET,LAA,9
2B/SS,Juan Brito (39001299),Juan Brito,39001299,2B/SS,2000,LAA@CLE 05/31/2025 04:10PM ET,CLE,0
OF,Petey Halpin (39001307),Petey Halpin,39001307,OF,2000,LAA@CLE 05/31/2025 04:10PM ET,CLE,0
OF,Johnathan Rodriguez (39001333),Johnathan Rodriguez,39001333,OF,2000,LAA@CLE 05/31/2025 04:10PM ET,CLE,0
1B,Niko Kavadas (39001341),Niko Kavadas,39001341,1B,2000,LAA@CLE 05/31/2025 04:10PM ET,LAA,0
SS,Orlando Arcia (39001205),Orlando Arcia,39001205,SS,2000,COL@NYM 05/31/2025 04:10PM ET,COL,2.13
OF,Yanquiel Fernandez (39001294),Yanquiel Fernandez,39001294,OF,2000,COL@NYM 05/31/2025 04:10PM ET,COL,0
SS,Ronny Mauricio (39001301),Ronny Mauricio,39001301,SS,2000,COL@NYM 05/31/2025 04:10PM ET,NYM,0
2B,Thairo Estrada (39001316),Thairo Estrada,39001316,2B,2000,COL@NYM 05/31/2025 04:10PM ET,COL,4
2B/3B,Nick Madrigal (39001320),Nick Madrigal,39001320,2B/3B,2000,COL@NYM 05/31/2025 04:10PM ET,NYM,0
OF,Zac Veen (39001323),Zac Veen,39001323,OF,2000,COL@NYM 05/31/2025 04:10PM ET,COL,3.17
2B/3B,Aaron Schunk (39001324),Aaron Schunk,39001324,2B/3B,2000,COL@NYM 05/31/2025 04:10PM ET,COL,2
C,Hayden Senger (39001331),Hayden Senger,39001331,C,2000,COL@NYM 05/31/2025 04:10PM ET,NYM,1.92
OF,Daz Cameron (39001207),Daz Cameron,39001207,OF,2000,MIL@PHI 05/31/2025 04:05PM ET,MIL,1.5
C,Jeferson Quero (39001302),Jeferson Quero,39001302,C,2000,MIL@PHI 05/31/2025 04:05PM ET,MIL,0
C,Garrett Stubbs (39001319),Garrett Stubbs,39001319,C,2000,MIL@PHI 05/31/2025 04:05PM ET,PHI,0
C,Cesar Salazar (39001204),Cesar Salazar,39001204,C,2000,TB@HOU 05/31/2025 04:10PM ET,HOU,0
OF,Zach Daniels (39001293),Zach Daniels,39001293,OF,2000,TB@HOU 05/31/2025 04:10PM ET,HOU,0
OF,Kenedy Corona (39001304),Kenedy Corona,39001304,OF,2000,TB@HOU 05/31/2025 04:10PM ET,HOU,0
OF,Taylor Trammell (39001339),Taylor Trammell,39001339,OF,2000,TB@HOU 05/31/2025 04:10PM ET,HOU,0
OF,John Rave (39001195),John Rave,39001195,OF,2000,DET@KC 05/31/2025 04:10PM ET,KC,2.25
2B,Tyler Tolbert (39001291),Tyler Tolbert,39001291,2B,2000,DET@KC 05/31/2025 04:10PM ET,KC,2.77
OF,TJ Hopkins (39001312),TJ Hopkins,39001312,OF,2000,DET@KC 05/31/2025 04:10PM ET,DET,0
OF,MJ Melendez (39001317),MJ Melendez,39001317,OF,2000,DET@KC 05/31/2025 04:10PM ET,KC,2.56
OF,Cavan Biggio (39001327),Cavan Biggio,39001327,OF,2000,DET@KC 05/31/2025 04:10PM ET,KC,2.76
OF,Ryan Kreidler (39001328),Ryan Kreidler,39001328,OF,2000,DET@KC 05/31/2025 04:10PM ET,DET,2.35
OF,Joey Wiemer (39001335),Joey Wiemer,39001335,OF,2000,DET@KC 05/31/2025 04:10PM ET,KC,0
OF,Brewer Hicklen (39001338),Brewer Hicklen,39001338,OF,2000,DET@KC 05/31/2025 04:10PM ET,DET,17
OF,Tyler Gentry (39001340),Tyler Gentry,39001340,OF,2000,DET@KC 05/31/2025 04:10PM ET,KC,0
3B,Graham Pauley (39001196),Graham Pauley,39001196,3B,2000,SF@MIA 05/31/2025 04:10PM ET,MIA,3.46
SS,Maximo Acosta (39001298),Maximo Acosta,39001298,SS,2000,SF@MIA 05/31/2025 04:10PM ET,MIA,0
3B/SS,Osleivis Basabe (39001305),Osleivis Basabe,39001305,3B/SS,2000,SF@MIA 05/31/2025 04:10PM ET,SF,0
OF,Wade Meckler (39001308),Wade Meckler,39001308,OF,2000,SF@MIA 05/31/2025 04:10PM ET,SF,0
3B,Deyvison De Los Santos (39001309),Deyvison De Los Santos,39001309,3B,2000,SF@MIA 05/31/2025 04:10PM ET,MIA,0
SS,Jared Serna (39001310),Jared Serna,39001310,SS,2000,SF@MIA 05/31/2025 04:10PM ET,MIA,0
OF,Grant McCray (39001322),Grant McCray,39001322,OF,2000,SF@MIA 05/31/2025 04:10PM ET,SF,0
C,Rob Brantly (39001326),Rob Brantly,39001326,C,2000,SF@MIA 05/31/2025 04:10PM ET,MIA,3.67
2B,Brett Wisely (39001332),Brett Wisely,39001332,2B,2000,SF@MIA 05/31/2025 04:10PM ET,SF,1.2
2B,Marco Luciano (39001334),Marco Luciano,39001334,2B,2000,SF@MIA 05/31/2025 04:10PM ET,SF,0
